date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:19	4515/4515	---MCZ	200	added ('OK')	application/json	date:Sat,%2017%20Dec%202022%2007:43:55%20GMT	http://sonamedia.vn/wp-json/wp/v2/categories/92	C:/My%20Web%20Sites/media/sonamedia.vn/wp-json/wp/v2/categories/92.json	(from http://sonamedia.vn/to-chuc-su-kien/to-chuc-su-kien-sinh-nhat/)
14:44:19	124870/124870	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:56%20GMT	http://sonamedia.vn/cach-tao-cac-trang-tru-cot-cho-seo.html/	C:/My%20Web%20Sites/media/sonamedia.vn/cach-tao-cac-trang-tru-cot-cho-seo.html/index.html	(from http://sonamedia.vn/marketing-tong-the/)
14:44:19	123891/123891	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:56%20GMT	http://sonamedia.vn/12-uu-diem-chinh-doanh-nghiep-cua-ban-co-the-thu-duoc-tu-quang-cao-chien-luoc.html/	C:/My%20Web%20Sites/media/sonamedia.vn/12-uu-diem-chinh-doanh-nghiep-cua-ban-co-the-thu-duoc-tu-quang-cao-chien-luoc.html/index.html	(from http://sonamedia.vn/marketing-tong-the/)
14:44:19	23283/23283	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f1d9-5af3%22	http://sonamedia.vn/wp-content/uploads/2019/10/to-chuc-sinh-nhat-cho-nguoi-yeu-300x225.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2019/10/to-chuc-sinh-nhat-cho-nguoi-yeu-300x225.jpg	(from http://sonamedia.vn/to-chuc-su-kien/to-chuc-su-kien-sinh-nhat/)
14:44:19	128695/128695	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:56%20GMT	http://sonamedia.vn/huong-dan-co-ban-ve-seo-vao-nam-2022.html/	C:/My%20Web%20Sites/media/sonamedia.vn/huong-dan-co-ban-ve-seo-vao-nam-2022.html/index.html	(from http://sonamedia.vn/marketing-tong-the/)
14:44:20	15658/15658	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f1db-3d2a%22	http://sonamedia.vn/wp-content/uploads/2019/10/to-chuc-sinh-nhat-cho-nguoi-yeu2-300x200.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2019/10/to-chuc-sinh-nhat-cho-nguoi-yeu2-300x200.jpg	(from http://sonamedia.vn/to-chuc-su-kien/to-chuc-su-kien-sinh-nhat/)
14:44:20	22441/22441	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f19a-57a9%22	http://sonamedia.vn/wp-content/uploads/2019/10/sinh-nhat-be-300x200.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2019/10/sinh-nhat-be-300x200.jpg	(from http://sonamedia.vn/to-chuc-su-kien/to-chuc-su-kien-sinh-nhat/)
14:44:20	115297/115297	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:57%20GMT	http://sonamedia.vn/dich-vu-lam-dau-tich-xanh-cho-facebook-ca-nhan-va-fanpage.html/	C:/My%20Web%20Sites/media/sonamedia.vn/dich-vu-lam-dau-tich-xanh-cho-facebook-ca-nhan-va-fanpage.html/index.html	(from http://sonamedia.vn/marketing-tong-the/)
14:44:20	20923/20923	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f159-51bb%22	http://sonamedia.vn/wp-content/uploads/2019/10/nha-hang-to-chuc-sinh-nhat2-300x187.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2019/10/nha-hang-to-chuc-sinh-nhat2-300x187.jpg	(from http://sonamedia.vn/to-chuc-su-kien/to-chuc-su-kien-sinh-nhat/)
14:44:20	20382/20382	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f1e4-4f9e%22	http://sonamedia.vn/wp-content/uploads/2019/10/tomorrowland2-300x169.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2019/10/tomorrowland2-300x169.jpg	(from http://sonamedia.vn/to-chuc-su-kien/to-chuc-su-kien-sinh-nhat/)
14:44:20	124622/124622	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:57%20GMT	http://sonamedia.vn/marketing-tong-the/page/3/	C:/My%20Web%20Sites/media/sonamedia.vn/marketing-tong-the/page/3/index.html	(from http://sonamedia.vn/marketing-tong-the/)
